url,naziv,cijena,lokacija,lat lng
https://www.olx.ba/artikal/31090915/trosoban-stan-82m2-cengic-vila-renoviran/,"Trosoban stan,82m2 Čengić Vila RENOVIRAN",178.900 KM,Novo Sarajevo,"https://maps.google.com/maps?ll=43.850312,18.369865&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/30412030/novogradnja-otoka-stanovi-54-118m2-sarajevo/,NOVOGRADNJA/Otoka/stanovi/54-118m2/Sarajevo,2.250 KM,Novo Sarajevo,"https://maps.google.com/maps?ll=43.848706,18.359522&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/31109536/bauland-prodaje-trosoban-novogradnja-pejton/,BAULAND prodaje: Trosoban/ Novogradnja/Pejton,163.000 KM,Ilidža,"https://maps.google.com/maps?ll=43.833914,18.29901&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/29115595/prostor-prodaje-novogradnja-trosoban-stan-sa-balkonom/,PROSTOR prodaje: NOVOGRADNJA trosoban stan sa balkonom,103.350 KM,"Sarajevo, Novi Grad","https://maps.google.com/maps?ll=43.850438,18.35629&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/30908536/novogradnja-skenderija-dvoiposoban-52-53m2-akcija-10/,"NOVOGRADNJA Skenderija, dvoiposoban 52-53m2 AKCIJA -10%",182.385 KM,Sarajevo - Centar,"https://maps.google.com/maps?ll=43.852924,18.410201&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/30050597/prostor-prodaje-novogradnja-sarajevo-waves-ilidza/,"PROSTOR prodaje: NOVOGRADNJA Sarajevo Waves, Ilidža",172.422 KM,Ilidža,"https://maps.google.com/maps?ll=43.838372,18.297164&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/30272731/prostor-prodaje-novogradnja-sarajevo-waves-81m2/,"PROSTOR prodaje: NOVOGRADNJA Sarajevo Waves, 81m2",214.652 KM,Ilidža,"https://maps.google.com/maps?ll=43.837474,18.298323&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/31378623/novogradnja-breka-eksluzivan-penthaus-sa-dvije-terase/,NOVOGRADNJA BREKA! Eksluzivan penthaus sa dvije terase,479.000 KM,Sarajevo - Centar,"https://maps.google.com/maps?ll=43.870554,18.416102&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/29021917/novogradnja-breka-komforan-jednosoban-stan-s-balkonom/,NOVOGRADNJA BREKA! Komforan jednosoban stan s balkonom,98.000 KM,Sarajevo - Centar,"https://maps.google.com/maps?ll=43.869656,18.416467&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/31132068/novogradnja-skenderija-trosoban-71-m2-akcija-10/,"NOVOGRADNJA Skenderija, trosoban 71 m2. AKCIJA -10%",277.329 KM,Sarajevo - Centar,"https://maps.google.com/maps?ll=43.854061,18.410609&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/28879174/prostor-prodaje-trosoban-stan-sa-garazom-aerodromsko/,"PROSTOR prodaje: Trosoban stan sa garažom, Aerodromsko",133.000 KM,"Sarajevo, Novi Grad","https://maps.google.com/maps?ll=43.828167,18.337837&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/29702619/prostor-prodaje-adaptiran-trosoban-stan-hrasno/,"PROSTOR prodaje: Adaptiran trosoban stan, Hrasno",209.000 KM,Novo Sarajevo,"https://maps.google.com/maps?ll=43.84753,18.375358&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/30265801/prostor-prodaje-trosoban-stan-dobrinja-3/,"PROSTOR prodaje: Trosoban stan, Dobrinja 3",115.000 KM,"Sarajevo, Novi Grad","https://maps.google.com/maps?ll=43.830013,18.35158&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/31426549/dvosoban-stan-u-izgradnji-roh-bau-hadzici/,"Dvosoban stan u izgradnji ROH BAU, Hadžići",64.900 KM,Hadžići,"https://maps.google.com/maps?ll=43.824073,18.207684&z=16&hl=en-US&gl=US&mapclient=apiv3"
